id,name,cost,power,vp,qty,text,art_prompt
TP01,물때 살피기,1,2,0,3,"인접한 웅덩이 하나를 공개한다. 그 웅덩이에 채집물이 있으면 자원 1개를 얻는다.","물이 빠진 바위 웅덩이를 들여다보는 손, 수면에 하늘이 비친다"
TP02,재빠른 손,2,4,0,3,"같은 웅덩이의 채집물 하나를 가져온다.","작은 게를 낚아채는 손, 물방울이 튄다"
TP03,돌 뒤집기,2,3,1,3,"바위 하나를 뒤집는다. 뒤집은 자리에 채집물이 있으면 즉시 한 번 더 뒤집을 수 있다.","이끼 낀 돌을 들어올리자 드러나는 젖은 모래와 작은 생물들"
TP04,그물 펼치기,3,6,1,2,"이번 물때 동안 내 채집물이 쓸려나가지 않는다.","얕은 물에 펼쳐진 성긴 그물과 그 위로 흐르는 물살"
TP05,무리한 잠수,3,12,0,2,"채집력을 두 배로 한다. 물때 종료 시 자원을 전부 잃는다.","숨을 참고 깊은 바위틈으로 들어가는 사람의 실루엣, 위로 기포가 오른다"
TP06,바구니 정리,4,8,2,2,"내 채집물을 원하는 만큼 한 웅덩이로 모은다.","해초와 조개가 담긴 대나무 바구니를 정리하는 손"
TP07,미끼 뿌리기,4,7,2,2,"한 웅덩이를 지정한다. 이번 물때 동안 그곳에서는 채집이 불가능하다.","수면에 흩뿌려진 미끼와 모여드는 작은 물고기 떼"
TP08,정확한 포획,5,10,3,1,"채집물 하나를 지정해 가져온다. 방해 효과를 무시한다.","불가사리를 정확히 집어올리는 두 손가락"
TP09,마지막 물때,5,11,3,1,"내 채집물 전부를 한 웅덩이로 옮긴 뒤 전부 회수한다. 물때 종료 시 이 채집물들은 사라진다.","밀물이 밀려오는 갯바위와 서둘러 돌아서는 사람의 뒷모습"
TP10,잠시 쉬기,1,1,1,4,"자원 2개를 얻는다.","바위에 걸터앉아 바다를 보는 사람과 옆에 놓인 바구니"
TP11,웅덩이 지키기,2,4,1,3,"웅덩이 하나를 표시한다. 다른 플레이어는 이번 물때에 그곳에서 채집할 수 없다.","돌로 둘러싼 작은 웅덩이와 그 안에 고인 맑은 물"
TP12,물길 돌리기,3,5,2,2,"상대 한 명을 지정한다. 그 플레이어는 이번 물때에 카드를 한 장만 낼 수 있다.","모래에 파인 물길을 손으로 막아 방향을 바꾸는 모습"
